epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81501,0.48662,3.17042,0.98435,0.00333,1,0.21295,0.20674,0.29744,3.10807,0.82079,2e-05,2e-05,2e-05
2,9.09707,0.53698,3.24452,1.02871,0.00333,1,0.09196,0.07894,0.31852,3.09339,0.81616,5.8812e-05,5.8812e-05,5.8812e-05
3,9.38157,0.45704,3.23762,0.91846,0.00333,1,0.39217,0.29239,0.25013,3.01502,0.73727,9.604e-05,9.604e-05,9.604e-05
4,9.67136,0.42905,2.98728,0.9781,0.00333,1,0.43743,0.35514,0.25398,3.00781,0.73451,0.000131684,0.000131684,0.000131684
5,9.96033,0.47585,2.91037,0.99468,0.00333,1,0.8204,0.82539,0.25012,2.97673,0.71617,0.000165744,0.000165744,0.000165744
6,10.25,0.44159,2.47686,0.91787,0.00333,1,0.995,0.93929,0.29303,2.87301,0.72875,0.00019822,0.00019822,0.00019822
7,10.5441,0.43822,2.25264,0.886,0.00333,1,0.92833,0.83574,0.32937,2.84407,0.77019,0.000229112,0.000229112,0.000229112
8,10.8304,0.48734,1.93637,0.93796,0.00333,1,0.92732,0.84241,0.41216,2.82593,0.81085,0.00025842,0.00025842,0.00025842
9,11.1083,0.46199,1.63734,0.89594,0.00333,1,0.93338,0.87098,0.45199,2.79808,0.861,0.000286144,0.000286144,0.000286144
10,11.3872,0.52989,1.55358,0.92948,0.00333,1,0.89886,0.81354,0.49371,2.80487,0.87183,0.000312284,0.000312284,0.000312284
11,11.6665,0.53884,1.35851,0.96593,0.00333,1,0.921,0.79626,0.53613,2.77975,0.89938,0.00033684,0.00033684,0.00033684
12,11.9473,0.53531,1.32395,0.97339,0.00333,1,0.91624,0.78774,0.55629,2.7908,0.91073,0.000359812,0.000359812,0.000359812
13,12.2262,0.48235,1.29066,0.93555,0.00333,1,0.90672,0.75347,0.56902,2.77649,0.89707,0.0003812,0.0003812,0.0003812
14,12.5063,0.45441,1.1796,0.90004,0.00333,1,0.89885,0.77597,0.52268,2.76506,0.8622,0.000401004,0.000401004,0.000401004
15,12.7885,0.49726,1.27463,0.97749,0.00333,1,0.77521,0.68818,0.48935,2.82378,0.84904,0.000419224,0.000419224,0.000419224
16,13.0705,0.55436,1.27343,0.98515,0.00333,1,0.75274,0.68649,0.47917,2.81934,0.86565,0.00043586,0.00043586,0.00043586
17,13.353,0.4481,1.04597,0.89654,0.00333,1,0.79465,0.72121,0.48399,2.83096,0.86147,0.000450912,0.000450912,0.000450912
18,13.6349,0.46475,1.05159,0.90535,0.00333,1,0.80083,0.7404,0.4468,2.84688,0.83723,0.00046438,0.00046438,0.00046438
19,13.9188,0.46045,1.17256,0.9102,0.00683,1,0.85266,0.78497,0.42662,2.85311,0.80399,0.000476264,0.000476264,0.000476264
20,14.1956,0.45938,1.15353,0.91682,0.82628,0.59856,0.80098,0.69845,0.43628,2.75393,0.78952,0.000486564,0.000486564,0.000486564
21,14.4744,0.43359,1.05838,0.91682,1,0.56418,0.8817,0.75581,0.44636,2.7113,0.82207,0.00049528,0.00049528,0.00049528
22,14.7539,0.51927,1.20098,1.01372,1,0.48352,0.92611,0.82888,0.48634,2.73208,0.85993,0.000502412,0.000502412,0.000502412
23,15.0367,0.45504,1.21646,0.92518,1,0.47115,0.91468,0.79412,0.52295,2.62351,0.88466,0.00050796,0.00050796,0.00050796
24,15.3187,0.44981,1.10445,0.91093,0.95913,0.625,0.84614,0.77346,0.50127,2.57499,0.85129,0.000511924,0.000511924,0.000511924
25,15.5983,0.4699,1.18284,0.9116,1,0.65529,0.93875,0.88244,0.47452,2.46279,0.84288,0.000514304,0.000514304,0.000514304
26,15.8795,0.43919,1.10965,0.93982,1,0.66058,0.995,0.91656,0.45968,2.46658,0.8344,0.0005151,0.0005151,0.0005151
27,16.1603,0.4563,1.04994,0.94406,1,0.68376,0.995,0.9037,0.46358,2.48879,0.82047,0.000514312,0.000514312,0.000514312
28,16.4325,0.49541,0.98968,0.97767,1,0.68376,0.995,0.9037,0.46358,2.48879,0.82047,0.00051194,0.00051194,0.00051194
29,16.7135,0.47161,1.17212,0.93802,1,0.70247,0.995,0.91744,0.39618,2.44566,0.80717,0.000507984,0.000507984,0.000507984
30,16.9962,0.44734,0.98588,0.85514,1,0.78597,0.995,0.85229,0.43011,2.51443,0.7969,0.000502444,0.000502444,0.000502444
31,17.2682,0.41333,1.00564,0.88744,1,0.78597,0.995,0.85229,0.43011,2.51443,0.7969,0.00049532,0.00049532,0.00049532
32,17.5526,0.38961,0.97189,0.85316,1,0.71541,0.98167,0.84494,0.45077,2.5104,0.81784,0.000486612,0.000486612,0.000486612
33,17.8345,0.44179,0.88128,0.8957,0.89567,0.625,0.93975,0.81553,0.44728,2.53278,0.84178,0.00047632,0.00047632,0.00047632
34,18.1062,0.41409,0.99063,0.86984,0.89567,0.625,0.93975,0.81553,0.44728,2.53278,0.84178,0.000464444,0.000464444,0.000464444
35,18.3884,0.40661,1.00615,0.91426,0.83569,0.5,0.90929,0.82444,0.45072,2.54126,0.84322,0.000450984,0.000450984,0.000450984
36,18.6715,0.38901,0.98505,0.92294,0.80469,0.51759,0.90929,0.83168,0.45217,2.46165,0.85515,0.00043594,0.00043594,0.00043594
37,18.9442,0.4226,0.98167,0.91499,0.80469,0.51759,0.90929,0.83168,0.45217,2.46165,0.85515,0.000419312,0.000419312,0.000419312
38,19.2252,0.46786,1.04796,0.92529,0.81322,0.5,0.93944,0.85249,0.47221,2.44821,0.87802,0.0004011,0.0004011,0.0004011
39,19.5257,0.39857,0.89996,0.88187,1,0.66817,0.995,0.90012,0.44817,2.44662,0.86296,0.000381304,0.000381304,0.000381304
40,19.7996,0.35357,0.89335,0.84095,1,0.66817,0.995,0.90012,0.44817,2.44662,0.86296,0.000359924,0.000359924,0.000359924
41,21.3049,0.28028,1.18162,0.80965,1,0.7088,0.98167,0.92771,0.39038,2.39026,0.80561,0.00033696,0.00033696,0.00033696
42,21.8928,0.29078,1.16816,0.78739,0.89298,0.75,0.96722,0.91545,0.39356,2.39038,0.80864,0.000312412,0.000312412,0.000312412
43,22.2393,0.29985,1.22559,0.78163,0.89298,0.75,0.96722,0.91545,0.39356,2.39038,0.80864,0.00028628,0.00028628,0.00028628
44,22.5221,0.28895,1.18118,0.79324,0.87557,0.88013,0.95389,0.88907,0.37501,2.33411,0.81421,0.000258564,0.000258564,0.000258564
45,22.7939,0.25802,1.18668,0.80637,0.87557,0.88013,0.95389,0.88907,0.37501,2.33411,0.81421,0.000229264,0.000229264,0.000229264
46,23.0765,0.30203,1.23177,0.83036,0.8833,1,0.95389,0.86834,0.3428,2.32448,0.8096,0.00019838,0.00019838,0.00019838
47,23.3508,0.25131,1.1863,0.75367,0.8833,1,0.95389,0.86834,0.3428,2.32448,0.8096,0.000165912,0.000165912,0.000165912
48,23.6331,0.2827,1.2319,0.83526,0.8806,1,0.95389,0.86968,0.33219,2.22441,0.80897,0.00013186,0.00013186,0.00013186
49,23.9033,0.26363,1.33464,0.8379,0.8806,1,0.95389,0.86968,0.33219,2.22441,0.80897,9.6224e-05,9.6224e-05,9.6224e-05
50,24.187,0.29247,1.22878,0.83767,0.8814,1,0.96722,0.88833,0.32662,2.08519,0.80891,5.9004e-05,5.9004e-05,5.9004e-05
